pos,player_name
1,Gabe Pruitt
2,Glen Davis
2,Jermareo Davidson
2,Josh McRoberts
3,Kyrylo Fesenko
2,Tyrus Thomas
2,Chris Richard
3,Aaron Gray
1,JamesOn Curry
1,Ramon Sessions
1,D.J. Strawberry
2,Demetris Nichols
1,Taurean Green
3,Marc Gasol
2,Dominic McGuire
1,Yue Sun
2,Marcus E. Williams
2,Derrick Byars
2,Julian Wright
1,Mike Conley
2,Kevin Durant
2,Jeff Green
1,Acie Law
2,Al Thornton
2,Jianlian Yi
2,Thaddeus Young
1,Rodney Stuckey
2,Jared Dudley
2,Brandan Wright
3,Sean Williams
2,Wilson Chandler
1,Marco Belinelli
1,Javaris Crittenton
2,Jason Smith
1,Daequan Cook
1,Aaron Brooks
1,Arron Afflalo
2,Alando Tucker
1,Sarunas Jasikevicius
3,Chris Kaman
3,Andrew Bogut
2,Marvin Williams
1,Deron Williams
1,Chris Paul
1,Raymond Felton
2,Martell Webster
2,Charlie Villanueva
2,Andrea Bargnani
2,Adam Morrison
2,Shelden Williams
1,Brandon Roy
1,Shannon Brown
2,Rudy Gay
3,Patrick O'Bryant
3,Saer Sene
1,Quincy Douby
3,Oleksiy Pecherov
1,J.J. Redick
1,Marcus D. Williams
1,Kyle Lowry
1,Randy Foye
3,Hilton Armstrong
1,Sergio Rodriguez
2,Rodney Carney
1,Mardy Collins
2,Shawne Williams
1,Jordan Farmar
2,Renaldo Balkman
1,Rajon Rondo
2,Ike Diogu
2,James White
2,Steve Novak
2,David Noel
2,P.J. Tucker
2,Bobby Jones
2,Craig Smith
3,Kosta Perovic
1,Daniel Gibson
2,Damir Markota
2,Marcus Vinicius
2,Alexander Johnson
1,Dee Brown
2,Leon Powe
3,Ryan Hollins
3,Cheickh Samb
1,Guillermo Diaz
1,Hassan Adams
1,Will Blalock
2,Brandon Bass
1,Daniel Ewing
2,Ersan Ilyasova
1,Monta Ellis
1,Travis Diener
1,Orien Greene
1,Salim Stoudamire
2,Ryan Gomes
2,Mickael Gelabale
1,Bracey Wright
2,Andray Blatche
1,Lou Williams
3,Martynas Andriuskevicius
3,Mile Ilic
2,Uros Slokar
2,Lawrence Roberts
2,Amir Johnson
1,Roko Ukic
2,Chris Taft
3,Robert Whaley
2,Dijon Thompson
1,Alex Acker
3,Solomon Jones
1,Joe Johnson
1,Nate Robinson
1,Jamal Crawford
3,Eddy Curry
2,Zach Randolph
3,Randolph Morris
2,Malik Rose
1,Fred Jones
2,Jared Jeffries
3,Jerome James
1,Rafer Alston
3,Loren Woods
1,Bobby Jackson
2,Shane Battier
1,Luther Head
3,Yao Ming
1,Steve Francis
2,Mike Harris
2,Luis Scola
2,Chuck Hayes
3,Dikembe Mutombo
3,Kwame Brown
3,Jason Collins
2,Brian Cardinal
1,Casey Jacobsen
2,Hakim Warrick
1,Aaron McKie
1,Juan Carlos Navarro
1,Chauncey Billups
2,Jason Maxiell
2,Jarvis Hayes
2,Antonio McDyess
1,Juan Dixon
2,Tayshaun Prince
2,Walter Herrmann
1,Richard Hamilton
1,Lindsey Hunter
3,Theo Ratliff
1,Larry Hughes
2,Andres Nocioni
1,Kirk Hinrich
1,Chris Duhon
1,Ben Gordon
1,DeShawn Stevenson
3,Brendan Haywood
1,Gilbert Arenas
2,Caron Butler
1,Antonio Daniels
3,Etan Thomas
2,Antawn Jamison
2,Darius Songaila
1,Roger Mason
1,Charlie Bell
1,Royal Ivey
1,Mo Williams
3,Jake Voskuhl
1,Michael Redd
2,Bobby Simmons
1,Nick Young
3,David Harrison
1,Andre Owens
1,Flip Murray
1,Jamaal Tinsley
1,Kareem Rush
2,Marquis Daniels
3,Jeff Foster
2,Devin Brown
3,Lance Allred
2,LeBron James
3,Anderson Varejao
1,Billy Thomas
1,Damon Jones
3,Dwayne Jones
1,Delonte West
2,Joe Smith
2,Wally Szczerbiak
1,Damon Stoudamire
1,Jacque Vaughn
3,Ian Mahinmi
1,Manu Ginobili
2,Robert Horry
1,Tony Parker
1,Brent Barry
2,Bruce Bowen
2,Trenton Hassell
2,Vince Carter
1,Devin Harris
2,Bostjan Nachbar
2,Richard Jefferson
3,Nenad Krstic
2,Keith Van Horn
1,Darrell Armstrong
3,DeSagana Diop
1,Luke Ridnour
3,Johan Petro
1,Earl Watson
2,Donyell Marshall
3,Robert Swift
2,Ronald Dupree
2,Juwan Howard
2,Malik Allen
1,J.J. Barea
3,Erick Dampier
1,Jason Kidd
1,Tyronn Lue
1,Jason Terry
2,Jerry Stackhouse
3,Jamaal Magloire
2,Dirk Nowitzki
2,Jeremy Richardson
2,Josh Childress
3,Zaza Pachulia
2,Josh Smith
1,Mike Bibby
1,Speedy Claxton
2,Sean May
3,Nazr Mohammed
2,Gerald Wallace
1,Earl Boykins
1,Derek Anderson
2,Viktor Khryapa
1,Thomas Gardner
1,Stephon Marbury
1,Eddie Gill
2,Anthony Tolliver
1,Darius Washington
1,Robert Hite
1,Keith Langford
2,Kaniel Dickens
1,Eric Snow
2,Jerome Williams
1,Chris Whitney
3,Kevin Willis
2,Nick Fazekas
1,Dan Dickau
1,Mike Wilks
1,David Wesley
2,Cliff Robinson
2,Joel Freeland
3,Jackie Butler
3,Justin Williams
1,Brevin Knight
3,Andrew Bynum
2,Justin Reed
2,Yaroslav Korolev
1,Rashad McCants
1,John Lucas
1,Joey Graham
1,Mario West
2,Julius Hodge
1,Jarrett Jack
2,Linas Kleiza
2,Wayne Simien
3,Spencer Hawes
1,Rudy Fernandez
2,Tiago Splitter
2,Stephane Lasme
3,Dwight Howard
1,Shaun Livingston
3,Babby Araujo
2,Andre Iguodala
2,Luke Jackson
3,Andris Biedrins
1,Sebastian Telfair
2,Kris Humphries
1,J.R. Smith
2,Dorell Wright
1,Jameer Nelson
3,Pavel Podkolzin
1,Tony Allen
1,Kevin Martin
1,Sasha Vujacic
1,Beno Udrih
2,Trevor Ariza
1,Tim Pickett
3,Ha Seung-Jin
1,Vassilis Spanoulis
1,Antonio Burks
1,Lionel Chalmers
3,Peter John Ramos
1,Luis Flores
2,Ryan Humphrey
2,Chris Jefferies
1,Jay Williams
1,Dajuan Wagner
2,Nikoloz Tskitishvili
3,Curtis Borchardt
3,Efthimios Rentzias
1,Frankie Williams
2,Jiri Welsch
2,Mike Sweetney
1,Carlos Delfino
1,T.J. Ford
3,Maybyner Nene
2,Qyntel Woods
1,Dwyane Wade
2,Chris Bosh
2,Carmelo Anthony
1,Marcus Banks
1,Reece Gaines
1,Troy Bell
2,David West
2,Boris Diaw
2,Travis Outlaw
2,Brian Cook
2,Ndudi Ebi
3,Kendrick Perkins
1,Leandro Barbosa
2,Jason Kapono
2,Luke Walton
2,Jerome Beasley
1,Steve Blake
3,Slavko Vranes
1,Derrick Zimmerman
1,Willie Green
3,James Lang
2,James Jones
2,Kyle Korver
3,Brandon Hunter
3,Andreas Glyniadakis
2,Carlos Boozer
2,Vincent Yarbrough
1,Tito Maddox
3,Mario Kasun
2,Lonny Baxter
2,Chris Owens
2,Randy Holcomb
2,Corsley Edwards
2,Robert Archibald
1,Raul Lopez
3,Samuel Dalembert
1,Brandon Armstrong
1,Jeryl Sasser
1,Joseph Forte
2,Kirk Haston
2,Vladimir Radmanovic
2,Rodney White
3,Tyson Chandler
2,Michael Bradley
2,Eddie Griffin
1,Erick Barkley
3,Primoz Brezec
3,Jake Tsakalidis
3,Dalibor Bagaric
1,Morris Peterson
2,Hedo Turkoglu
1,Keyon Dooling
3,Joel Przybilla
2,Darius Miles
2,Kenyon Martin
3,Chris Mihm
2,Darnel Fizer
1,Courtney Alexander
3,Mamadou N'Diaye
2,Donnell Harvey
